what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"2",1332463563578
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1332463563578
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1332463563578
java.specification.name,sysinfo,,,"Java Platform API Specification",1332463563578
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1332463563578
java.specification.version,sysinfo,,,"1.6",1332463563578
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1332463563578
java.version,sysinfo,,,"1.6.0_26",1332463563578
java.vm.info,sysinfo,,,"mixed mode, sharing",1332463563578
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1332463563578
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1332463563578
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1332463563578
java.vm.specification.version,sysinfo,,,"1.0",1332463563578
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1332463563578
java.vm.version,sysinfo,,,"20.1-b02",1332463563578
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1332463563609
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332463569937
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332463571078
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1332463571437
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1332463571906
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1332463574046
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1332463574531
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1332463578125
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1332463578562
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1332463578687
stopped,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1332463578968
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1332463579375
stopped,bundle,org.eclipse.m2e.jdt,1.0.0.20110607-2117,"org.eclipse.m2e.jdt",1332463579484
stopped,bundle,org.eclipse.m2e.launching,1.0.0.20110607-2117,"org.eclipse.m2e.launching",1332463579625
stopped,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1332463579625
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1332463579750
stopped,bundle,org.eclipse.help.ui,3.5.100.v20110425,"org.eclipse.help.ui",1332463580078
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1332463580250
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1332463580250
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1332463580453
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1332463710343
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1332463710343
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1332463710375
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1332463710375
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1332463710375
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1332463710453
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1332463710453
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1332463710453
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1332463710453
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1332463710453
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1332463710484
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1332463710578
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1332463710578
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1332463710687
started,bundle,org.eclipse.epp.mpc.ui,1.1.0.I20110525-0742,"org.eclipse.epp.mpc.ui",1332463710687
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1332463710687
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1332463710687
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1332463710687
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1332463710687
started,bundle,org.eclipse.equinox.ds,1.3.0.v20110502,"org.eclipse.equinox.ds",1332463710796
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1332463710843
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1332463710843
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1332463710859
